NAME	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16
100256 C21orf33 chromosome 21 open reading frame 33 Hs.182423 AA025421  8209 	1.04	1.33	0.06	0.47	0.03	0.48	-0.09	-0.05	-0.2	0.3	0.12	-0.18	1.11	0.14	1.93	0.7
100279 TOP2A topoisomerase (DNA) II alpha (170kD) Hs.156346 AA504348  7153 	-1.03	0.07	0.51	-0.45	-1.71	-0.92	-0.68	0.27	0.79	0.17	0.61	1.21	1.17	1.09	1.33	0.3
"100330 RNPC2 RNA-binding region (RNP1, RRM) containing 2 Hs.145696 H47069  9584 "	-0.38	1.16	0.66	-0.12	-0.44	0.82	1.42	1.32	0.13	-0.17	-0.15	0.28	0.88	-0.65	-0.79	0.59
"100453  Homo sapiens cDNA FLJ32453 fis, clone SKMUS2001703 Hs.352402 N63598   "	-1.31	-0.33	0.19	-0.65	-0.17	-0.41	-0.01	0.49	-0.14	0.52	-0.41	0	0.57	-0.13	-1.56	-0.45
100489 CBS cystathionine-beta-synthase Hs.84152 AA430367  875 	0.15	-0.16	1.32	-0.5	-1.72	0.25	1.09	0.4	0.16	0.5	-1.21	1.3	0.73	0.69	1.8	-0.91
100496 SARS seryl-tRNA synthetase Hs.4888 AA630734  6301 	-0.09	0.94	-0.27	0.15	0.84	0.12	0.03	0.61	0.87	0.74	0.28	0.48	0.01	0.42	-0.85	0.24
100521 SNRPA **small nuclear ribonucleoprotein polypeptide A Hs.173255 R70488  6626 	-0.8	-0.46	0.33	0.49	-0.3	0.17	0.1	0.46	0.7	-0.31	-0.44	0.48	0.94	0.69	-1.34	-0.02
100577 TRIP8 thyroid hormone receptor interactor 8 Hs.6685 T52320  9323 	0	0.57	0.23	-0.4	0.18	-0.2	-0.23	1.08	1.33	0.14	0.83	-0.56	0.02	-0.03	0.45	-1.23
100583 ETR101 immediate early protein Hs.737 AA496359  9592 	0	0	0.16	0.47	0.94	1.66	-0.33	0.27	-0.92	0.42	-0.2	0.21	0.11	0.4	-0.23	0.26
100600 FLJ21047 hypothetical protein FLJ21047 Hs.14891 AA464422  79620 	0.7	0.02	-0.12	0	0.69	0.25	0.23	0.13	-0.03	0.42	0.08	1.67	1.91	0.59	0.68	1.35
100625 VATI vesicle amine transport protein 1 Hs.157236 AA669603  10493 	0	0.33	-0.01	0.35	0.5	0.46	-0.76	-0.18	0.4	0.32	1.08	-0.05	-0.77	0.15	-0.58	-0.11
100637 MGC2835 ATP-dependent RNA helicase Hs.70582 AA400151  79039 	1.44	1.06	0.87	0.62	0.92	0.28	0.4	0.81	-0.38	0.61	0.33	-0.19	0.7	0.41	-1.24	0.01
100675 SPG4 spastic paraplegia 4 (autosomal dominant; spastin) Hs.26334 AA171421  6683 	-0.47	0.83	0.35	0.49	0.28	-0.18	0.74	0.33	-0.34	0.51	0.26	0.54	0.74	0.53	0	1.09
100693 SHMT2 serine hydroxymethyltransferase 2 (mitochondrial) Hs.75069 AA620477  6472 	2.28	0.99	0.01	0.67	0.44	-0.03	0.88	0.09	0.06	0.91	0.04	-0.78	0.41	0.71	0.38	-0.33
100722 LOC51189 ATPase inhibitor precursor Hs.241336 T69273  51189 	-1.23	1.68	-0.37	-1.02	-0.19	-0.27	0.47	0.89	-0.73	1.02	-0.37	0.24	-0.49	0.29	0.64	0.36
100749 ARCN1 archain 1 Hs.33642 AA598401  372 	-0.37	0.51	-0.43	0.33	0.6	0.4	-0.2	0.67	0.19	0.58	0.01	0.8	0.93	0.69	-0.13	1.08
100751 EFNB1 ephrin-B1 Hs.144700 AA428778  1947 	1.08	1.61	0.66	1.41	1.7	0.7	0.84	1.02	0.82	0	-0.84	-1.3	-0.61	-0.62	-0.42	-0.51
100781 FEN1 flap structure-specific endonuclease 1 Hs.4756 AA620553  2237 	0.02	0.39	0.53	0.46	-0.31	0.11	-0.52	0.12	1.07	0.25	0.18	0.66	1.55	1.55	1.1	-0.71
"100784  Homo sapiens cDNA FLJ14407 fis, clone HEMBA1004295, weakly similar to Homo sapiens NY-REN-25 antigen mRNA Hs.14337 R17095   "	0.31	0.5	-0.02	0.94	1.05	0.21	0.14	0.19	-0.66	0.25	-0.4	0.56	0.26	0.05	0.19	0.93
100801 EVPL envoplakin Hs.25482 AA029418  2125 	0.87	1.61	-0.02	-0.38	0.81	-0.51	-0.64	-0.36	-0.66	0	0.49	1.51	-0.41	0.33	0.37	1.73
100822 MPO myeloperoxidase Hs.1817 AA703058  4353 	0.75	-0.14	0.91	-0.31	0.94	2.2	0.97	1.09	1.1	-0.93	-1.03	-0.26	-0.31	0.26	-3.07	-1.06
"100888 CRSP2 cofactor required for Sp1 transcriptional activation, subunit 2 (150kD) Hs.21586 AA150093  9282 "	-0.43	0.6	0.51	-0.3	0.04	-0.26	-0.2	0.3	0.82	0.26	-0.03	0.01	0.07	0.46	-0.24	-0.53
"100889  ESTs, Highly similar to A47214 Jk-recombination signal binding protein IGKJRB, extended splice form aPCR-2 [H.sapiens] Hs.356806 R16902   "	-0.64	-0.46	-0.05	0.25	0.1	-0.28	-0.37	0.24	-0.21	0	0.09	-0.41	0.28	-0.22	0.64	0.13
100917 TTC3 tetratricopeptide repeat domain 3 Hs.118174 AA670134  7267 	0	0.84	-0.05	0.69	0.45	0.11	0.03	-0.71	-0.25	0.2	-0.1	0.44	0.77	0.21	2.07	1.53
100975 76P gamma tubulin ring complex protein (76p gene) Hs.20621 AA464569  27229 	-0.26	0.79	0.19	0.21	0.64	0.08	0.72	0.3	-0.15	0.56	-0.43	-0.52	0.32	-0.02	0	0.69
101053 FOXD1 forkhead box D1 Hs.96028 AA069132  2297 	1.31	-0.28	-0.46	-0.41	0.46	0.56	-0.93	-1	0.58	1.3	-1.14	-0.1	0.59	1.51	1.1	-0.17
"101075 GBE1 glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV) Hs.1691 R09068  2632 "	0	1.16	0.88	1.28	0	1.37	0.11	0.58	0.45	0.24	0.15	0.21	-0.94	0.25	1.34	-0.75
101116 DDT D-dopachrome tautomerase Hs.180015 AA292995  1652 	-0.06	0.01	-0.3	0	-0.6	-0.22	-1.67	-0.24	0.19	0.72	0.16	-0.03	0.13	0.34	0.96	0.48
"101117 SMARCA1 SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 Hs.152292 AA496809  6594 "	-0.53	0.6	0.56	-0.31	0.62	0.33	0.5	1.35	0.74	0.83	-0.47	1.25	-0.23	0.17	1.6	1.17
101181 OXCT 3-oxoacid CoA transferase Hs.177584 R13381  5019 	-0.96	-0.33	0.05	-0.28	0.14	-0.09	-0.09	0.3	1.43	1.38	0.1	0.53	0.75	0.92	1.72	0.64
101214 DAG1 dystroglycan 1 (dystrophin-associated glycoprotein 1) Hs.76111 AA496691  1605 	0.45	0.97	0.93	0.59	0.74	0.83	0.27	0.69	-0.34	0.13	-0.31	0.09	-0.24	-0.29	0.03	-0.21
101226 BBS2 Bardet-Biedl syndrome 2 Hs.332633 AA486738  583 	0.4	0.79	-0.11	0.9	0.93	-0.38	0.71	1.04	0.37	-0.56	-0.08	0.69	-0.88	0	0.15	0.7
101254 PPOX protoporphyrinogen oxidase Hs.100016 AA151248  5498 	-0.15	0.28	-0.16	0	0.46	-0.15	0.16	1.19	-0.88	-0.29	-0.57	0.39	1.35	-0.05	0.62	2.16
101360 CAT56 CAT56 protein Hs.118354 AA456966  80742 	0.12	0.76	0.44	0.56	0.66	0.65	0.8	0.43	0.46	0.45	-0.36	0.58	0.69	1.1	0.78	0.87
101375 MGC13090 hypothetical protein MGC13090 Hs.333389 AA150896  84797 	-0.1	0.68	0	0.18	0.28	0.58	-0.57	0.12	0.54	0	0.58	0.58	0.23	0.58	0.44	0.15
101477 LOC51608 CGI-20 protein Hs.107387 R02578  51608 	0.46	0.19	0.6	0.35	0.72	-0.48	0.77	0.6	0.11	-0.69	-1.75	0.62	0.68	-0.35	-0.68	0.45
101503 H105E3 NAD(P) dependent steroid dehydrogenase-like; H105e3 Hs.57698 AA436425  50814 	0	0.49	-0.11	0.26	0	-0.15	-0.57	-0.4	-0.03	0.49	-0.95	0.41	0.8	0.27	0.75	0.37
"101555 ROCK2 Rho-associated, coiled-coil containing protein kinase 2 Hs.58617 R94947  9475 "	-0.24	0.45	0.74	1.1	0.79	0.16	0.92	0.38	0.64	0.22	-0.79	0.7	0.48	0.81	0.9	1.35
101556 USP19 ubiquitin specific protease 19 Hs.301373 AA455107  10869 	0.26	0.55	0.57	-0.05	0.73	0.23	0.34	0.36	-0.45	0.65	-0.32	-0.1	0.25	0.13	0	0.55
101557 ITM1 integral membrane protein 1 Hs.287850 R68805  3703 	0.01	0.75	0.15	0.43	0.22	-0.28	0.33	0.76	0.34	0.21	-0.85	0.23	0.42	1.19	0.05	0.86
"101591 PRKCI protein kinase C, iota Hs.1904 T57875 PKC iota=Protein kinase C, iota 5584 "	-0.02	1.42	1.36	-0.58	-0.08	-0.31	0.72	0.47	0.88	-0.48	0.49	-1.14	-1.14	-0.43	-0.37	-1.53
101637 VEGF vascular endothelial growth factor Hs.73793 R19956  7422 	1.01	1.48	1.39	0.97	-1.11	-0.4	1.12	1.23	0.89	0.12	1.26	0.83	-0.3	0.56	0.54	-0.22
"101659 MJD Machado-Joseph disease (spinocerebellar ataxia 3, olivopontocerebellar ataxia 3, autosomal dominant, ataxin 3) Hs.66521 AA702422  4287 "	0.19	0.13	0.27	0.42	0.17	-0.34	0.52	0.42	0.21	0.37	-0.85	-0.5	-0.09	0.13	0.3	-0.44
101660 FLJ23306 hypothetical protein FLJ23306 Hs.5890 N34799 fra-2=fos-related antigen 2 79579 	-0.28	0.32	0.44	0.94	0.45	0.53	0.49	1	-0.81	-0.11	0.9	0.54	0	-0.02	-1.25	0.51
101721 TROAP trophinin associated protein (tastin) Hs.171955 H94949  10024 	-1.02	-0.2	0.24	-1.4	-1.01	0.28	0.11	-0.06	0.89	0.74	-0.37	0.05	0.33	1.04	-0.23	-0.29
"101722 EIF3S8 eukaryotic translation initiation factor 3, subunit 8 (110kD) Hs.4835 AA598863  8663 "	-0.09	0.22	0.13	0.23	1.43	0.27	0.35	1.53	-0.81	-0.02	-0.07	1.02	0.62	-0.39	0	0.66
101738 E46L **like mouse brain protein E46 Hs.13493 R20246  25814 	0.11	-0.06	-0.28	-0.13	0.08	-1.2	-1.09	-0.59	-0.01	0.65	0.9	0.33	0.09	0.49	0.82	0.94
101768 DDX38 DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 38 Hs.78054 AA454703  9785 	1.69	0.73	0.47	0.34	1	0.57	0.17	0.24	-0.02	0.43	-0.35	0.94	0.73	0.36	1.34	1.2
101782 FMR1 fragile X mental retardation 1 Hs.89764 N48355  2332 	-0.04	0.43	0.8	0.09	0.26	-0.62	0.25	1.65	-0.14	-0.03	-0.17	0.07	1.1	0.4	0	0.77
"101788 NR1H2 nuclear receptor subfamily 1, group H, member 2 Hs.100221 AA629265  7376 "	0.55	0.67	0.03	0	0.05	0.04	-0.2	-0.08	-0.22	-0.28	-0.4	0.3	-0.4	0.31	-0.09	0.46
"101789  ESTs, Weakly similar to AC004858 3 U1 small ribonucleoprotein 1SNRP homolog [H.sapiens] Hs.355702 AA454562   "	0.37	1.35	1.1	-0.37	-0.17	-0.55	2.22	2.05	0.39	0	-0.48	-1.01	1.1	0.2	0.15	1.51
101816 MMP14 matrix metalloproteinase 14 (membrane-inserted) Hs.2399 N33214 MMP-14=Matrix metalloproteinase 14=MT-1-MMP=membrane-type ma 4323 	3.22	1.9	2.43	1.52	2.9	0.31	1.3	2.2	-0.62	1.07	-0.07	-0.19	-3.22	-0.45	-0.23	0.61
101829 TRIP8 thyroid hormone receptor interactor 8 Hs.6685 H09113  9323 	0	0.57	0.39	0.57	0.46	-0.14	0.57	1.26	1.16	1.25	0.48	0.05	0.48	0.62	0.07	-0.16
101833 MMP15 matrix metalloproteinase 15 (membrane-inserted) Hs.80343 AA443300 MMP-15=Matrix metalloproteinase 15=MT-2-MMP=membrane-type ma 4324 	0.92	1.21	0.5	-0.41	0.61	0.15	0.19	0.19	0.01	0.83	-1.18	-0.49	-0.91	-0.48	-0.36	-0.47
101861 MKI67 antigen identified by monoclonal antibody Ki-67 Hs.80976 AA425973 Ki67 (long type) 4288 	-1.16	0.01	0.08	0.01	-1.98	-0.33	-0.01	-0.06	0.34	0.67	-0.08	0.11	2.27	1.02	0	0.38
101902 EDR1 early development regulator 1 (polyhomeotic 1 homolog) Hs.305985 H96213  1911 	1.22	0.5	0.37	0.34	0.93	0.68	1.46	0.06	0.34	-0.61	0.23	-0.99	0.68	0.55	-1.11	-0.94
101919 FLJ22269 hypothetical protein FLJ22269 Hs.334789 AA463986  84179 	0.47	0.34	0.6	-0.25	0.57	-0.29	-0.78	0.11	-0.52	0.38	0.03	0.46	0.09	-0.33	-1.5	1.18
101926 KIAA0599 KIAA0599 protein Hs.198037 T49575  26030 	0.81	2.16	1.05	0.6	1.2	0.66	1.21	1.47	-0.75	0.74	-0.81	0.36	-0.24	-0.38	0.34	-0.22
101932 NP nucleoside phosphorylase Hs.75514 AA430382  4860 	0.1	1.08	0.8	0.37	0.03	0.04	-0.24	0.9	-0.13	0.93	0.32	-0.01	-0.79	0.09	1.06	0.33
101973 LCAT lecithin-cholesterol acyltransferase Hs.348401 R06458  3931 	0	0.24	0.46	0.76	1.26	0.41	0.42	0.49	0.17	0.21	-0.76	0.54	0.73	-0.55	1.03	0.94
101993 RPN1 ribophorin I Hs.2280 AA125915  6184 	0.61	0.8	0.88	0.23	0.34	0.14	0.17	1.33	0.05	-0.06	0.5	0.31	0.06	0.33	0.01	0.39
101999 ANGPTL4 angiopoietin-like 4 Hs.9613 N98757  51129 	-0.78	0.21	-0.13	-0.08	-1.09	-0.13	-0.56	0.8	-1.3	0.21	0.37	1.51	-1.5	-0.36	0.7	2.71
102023 LC27 putative integral membrane transporter Hs.296398 AA600214  55353 	1.03	2.12	0.33	-0.18	-0.03	-0.68	0.43	0.87	0.11	0.37	0.74	0.5	0.69	0.47	1.76	0.81
102036 KIAA0095 KIAA0095 gene product Hs.155314 AA428939  9688 	-0.19	1.79	-0.33	0.22	0.14	-0.01	0.26	0.71	0.18	0.55	0.7	0.89	0.36	0.74	0.5	0.54
102056 FLJ20551 hypothetical protein FLJ20551 Hs.7994 H61978  54977 	0.22	2.55	0.86	0.48	0.66	-0.07	0.83	-0.56	-0.92	-0.49	-0.67	-0.39	-1.09	-0.64	-1.17	-0.6
102057  **Human transposon-like element mRNA Hs.84775 AA496746   	0.17	-0.29	-0.07	0.34	-0.05	-0.26	0.03	-0.07	0.73	0.14	0.12	0.25	-0.47	0.17	0	1.12
102059 LTBP4 latent transforming growth factor beta binding protein 4 Hs.85087 R87406  8425 	-0.72	0.09	0.07	-0.18	-0.99	-0.2	0.08	-0.04	0.12	0.35	0.17	1.18	0.64	0.09	0.29	-0.38
102060  Homo sapiens clone 23872 mRNA sequence Hs.188882 AA598834   	0.05	1.15	0.48	0.57	0.57	-0.14	0.95	0.25	0	0.06	0.92	0.44	1.18	0.4	0	1.05
"102082 PPP5C protein phosphatase 5, catalytic subunit Hs.75180 N54551 PP5=serine-threonine phosphatase 5536 "	0.7	0.28	0.63	0.5	0.02	0.23	0.3	1.24	-0.04	0.4	-0.12	0.27	-0.36	1.12	0.96	-0.52
102163 TMPO thymopoietin Hs.11355 T63980  7112 	-0.09	0.27	0.6	-0.4	-0.72	-0.65	0.62	-0.23	0.36	0.03	-0.05	0.21	1.35	1.53	0.88	0.31
"102204 ARHE ras homolog gene family, member E Hs.6838 AA443302  390 "	0.56	0.48	0.4	1.04	0.69	0.3	1.69	1.18	0.11	0.46	0.48	0.26	-0.81	0.36	-0.56	-0.49
"102220  Homo sapiens cDNA: FLJ21366 fis, clone COL03012, highly similar to AB002445 Homo sapiens mRNA from chromosome 5q21-22 Hs.21056 AA454725   "	-0.52	-0.34	1.09	0.14	-0.23	-0.06	0	0.17	-0.8	0.18	-0.77	0.28	0.95	0.72	0.07	0.29
102223 TARS threonyl-tRNA synthetase Hs.84131 AA630628  6897 	0.5	0.25	0	0.92	0.17	-0.19	-0.2	0.52	1.43	0.82	0.58	-0.25	0.27	0.01	0.28	-0.43
"102241 SPTAN1 spectrin, alpha, non-erythrocytic 1 (alpha-fodrin) Hs.77196 T60117  6709 "	1.11	1.42	0.82	0.56	1.15	0.42	0.29	0.6	-0.38	0.28	0.13	0.58	0.3	-0.07	-0.21	0.01
"102251 TGFB2 transforming growth factor, beta 2 Hs.169300 AA233738  7042 "	-1.22	-0.18	-0.09	-0.55	0.47	0.41	0.41	0.44	0.91	-0.21	-2.68	0.03	-0.15	-0.72	0	-0.35
102253 ERp44 endoplasmic reticulum resident protein 44 kDa Hs.154023 AA620519  23071 	0.5	0.71	0.84	0.21	0.12	0.2	-0.12	0.24	0.47	0.23	0.39	0.17	0.18	0.8	0.92	0.26
102254 DPYSL3 dihydropyrimidinase-like 3 Hs.74566 AI831083  1809 	0.17	0.71	0.85	1.5	1.27	1.71	0.87	0.59	0.08	-0.04	-0.02	-0.26	-0.01	0.15	-0.3	-0.45
102283 CTBP1 C-terminal binding protein 1 Hs.239737 W81570  1487 	0.11	0.04	0.65	1.29	0.62	0.17	0.66	1.36	0.2	-0.37	0.62	0.04	-0.56	0.13	-1.23	0.18
"102299 DCT **dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2) Hs.301865 AA478553  1638 "	0.77	0	0.84	1.36	1.74	1.8	1.22	0.18	-0.58	-0.53	-0.9	-1.41	-0.99	0.35	-2.46	-0.92
102373 MGC2491 hypothetical protein MGC2491 Hs.11270 AA015607  79004 	1.02	0.4	0.47	0.64	0.61	0.48	0.01	0.31	-0.56	0.11	-0.19	-0.39	0.94	-1.07	-0.33	-0.74
102401 ITPA inosine triphosphatase (nucleoside triphosphate pyrophosphatase) Hs.6817 AA610004  3704 	-0.57	0.93	0.2	-0.65	0.57	0.07	0.9	0.38	-0.41	0.24	0.15	0.96	0.19	-0.06	0.67	0.23
"102411 MTHFD2 methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase Hs.355859 AA630320  10797 "	0	0.52	0.85	-0.23	0.26	0.34	0.03	0.7	-0.49	0.53	-0.35	0.3	0.49	0.75	-0.57	-0.61
102434 PFDN4 prefoldin 4 Hs.91161 AA250726  5203 	2.12	1.09	0.33	0.55	0.65	0.52	-1	-0.08	0.3	-0.36	-0.59	-0.65	-0.08	-0.1	-0.75	-0.78
"102454 GOLGA3 golgi autoantigen, golgin subfamily a, 3 Hs.4953 AA663910  2802 "	0.27	0.6	0.02	0.4	0.72	0.49	-0.55	0.64	-0.47	0.23	0.16	1.07	1.25	0.08	1.81	2.33
"102469 SMN1 survival of motor neuron 1, telomeric Hs.288986 AA004858  6606 "	0	0.47	0.72	-0.4	-0.32	-0.75	0.55	0.45	0	0.57	0.31	-0.14	-0.1	0.69	0.06	0.47
102510 ZD52F10 hypothetical gene ZD52F10 Hs.32343 AA457707  93099 	0	1.29	0.39	1.53	1.33	0.16	1.81	0.57	0.51	0.72	-1.87	0.14	-2	-1.19	0.15	1.09
102513 CKS2 CDC28 protein kinase 2 Hs.83758 AA010065 ckshs2=homolog of Cks1=p34Cdc28/Cdc2-associated protein 1164 	-0.86	-0.43	0.09	-1.29	-1.94	-0.77	-0.17	0.27	0.59	0.37	0.95	0.77	0.98	1.25	1.47	-0.29
102557 MGC14439 hypothetical protein MGC14439 Hs.107001 R99346  84991 	0.17	2.17	0.92	0.08	-0.16	0.25	0.49	0.89	0.56	0.01	-0.27	0.62	1.1	0.82	1.23	1.14
102558 PRKCBP1 protein kinase C binding protein 1 Hs.75871 AA480906  23613 	0.49	1.05	0.57	-0.53	0.24	-0.01	0.14	0	-0.8	-0.35	-0.63	0.07	-0.6	-1.36	-0.5	-0.21
"102560  Homo sapiens cDNA FLJ32137 fis, clone PEBLM2000479, highly similar to PROTO-ONCOGENE TYROSINE-PROTEIN KINASE FYN (EC 2.7.1.112) Hs.348742 H91826   "	0	0.11	0.09	1.57	0.14	1.02	-0.08	0.41	-0.11	-0.28	-0.06	-0.22	-0.46	0.29	1.08	0.21
102569 CDK6 cyclin-dependent kinase 6 Hs.38481 H73225  1021 	0.06	0.47	1.01	1.45	0.09	0.75	1.27	0.18	0.77	-0.04	-0.7	-0.38	0.1	-0.04	0.15	1.25
102575 RANBP16 RAN binding protein 16 Hs.172685 H73639  23039 	0.31	-0.04	0.61	-0.27	0.07	0.1	1.12	0.52	0.72	-0.19	0.76	-0.45	-1.25	0.95	0.05	-0.08
102603 MAD2L1 MAD2 mitotic arrest deficient-like 1 (yeast) Hs.79078 AA481076 mitotic feedback control protein Madp2 homolog 4085 	-0.65	0.08	-0.17	-0.1	-1.46	-0.52	-0.8	0.22	1.29	0.6	1.57	0.18	0.44	1.26	0	-0.21
"102645 SLC2A1 solute carrier family 2 (facilitated glucose transporter), member 1 Hs.169902 H58872  6513 "	0.8	1.9	0	0	-0.01	0	1.88	0	1.72	-0.2	1.47	0.01	-0.8	-0.61	-0.13	-0.24
102658 KIAA0057 TRAM-like protein Hs.153954 T74606  9697 	0.64	0.84	0.82	0.4	0.15	0.83	-0.2	-0.12	1	0	-0.04	-0.85	-0.69	-0.23	-0.71	-1.07
102670 SNRPA1 small nuclear ribonucleoprotein polypeptide A' Hs.80506 AA122272  6627 	-0.08	0.79	-0.23	-1.48	0.03	0.04	-0.44	1.27	0.65	0.93	0.37	1.04	1.09	0.68	0.45	0.68
"102691  Homo sapiens cDNA: FLJ21425 fis, clone COL04162 Hs.302738 W15263   "	0.43	0.65	2.02	0.82	0.72	0.49	-0.12	0.57	-0.24	0.07	-0.77	-0.44	1.07	0.48	1.96	4.94
"102708  **ESTs, Highly similar to A30319 casein kinase II [H.sapiens] Hs.355532 T98414   "	-0.92	-0.11	0.03	-0.32	-1.94	0.6	0.17	0.5	0.49	0.21	0.68	-1.01	-0.17	-0.17	-1.13	-1.19
"102713 SDC2 syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan) Hs.1501 AA122056  6383 "	1.35	1.52	0.6	0.37	1.03	0.17	-0.62	0.87	0.42	-0.32	0.54	-0.44	1	0.74	1.7	0.35
102739 PRO2000 PRO2000 protein Hs.46677 H58234  29028 	0	-0.41	-0.09	0	-2.25	-0.13	-0.83	1.22	0.78	-0.24	0.54	0.68	1.21	2.36	1.94	0.92
102749 HNRPH1 heterogeneous nuclear ribonucleoprotein H1 (H) Hs.245710 R11018  3187 	-0.7	-0.08	0.84	-0.12	-0.54	0.42	0.09	1.2	0.08	0.34	-0.39	0.87	0	0.64	-1.27	-1.55
102831    AA457728   	-0.21	0.43	-0.45	1.15	2.03	0.1	-2.27	0.28	-1.83	0.02	0.48	1.25	0.45	0.11	-0.66	-0.39
102867 NOT56L Not56 (D. melanogaster)-like protein Hs.153591 R23251  10195 	-0.36	0.13	0.13	-0.41	-0.05	-0.28	-0.35	-0.21	-0.02	-0.69	0.09	-0.14	0.44	0.4	-0.47	0.42
102872  Homo sapiens mRNA; cDNA DKFZp586J0720 (from clone DKFZp586J0720) Hs.324504 AA040269   	-0.2	-0.05	0.21	-0.39	-0.68	0.5	-0.15	1.58	0.42	1.17	0.53	0.36	0.4	0.38	1.12	1.37
"102893 GAD1 glutamate decarboxylase 1 (brain, 67kD) Hs.324784 AA018457  2571 "	-0.65	-0.11	-0.12	-0.4	-0.13	-0.19	-0.2	0.14	0.07	0.29	-0.58	0.65	0.28	0.28	0.46	0.11
102920 UROD uroporphyrinogen decarboxylase Hs.78601 AA424344  7389 	-1.14	0.46	0.04	-0.36	0.43	0.05	-0.48	-0.35	0.56	-0.21	-1.05	0.32	0.35	0.21	0.56	0.98
"102932 ACADVL acyl-Coenzyme A dehydrogenase, very long chain Hs.82208 AA464163  37 "	1.11	-0.11	0.16	0.26	1.66	0.95	-0.99	0.63	-0.21	0.18	-0.4	-0.16	-0.31	-0.34	-0.19	-0.23
102940 FLJ20811 hypothetical protein Hs.83530 AA485442  54470 	-0.6	0.33	-0.17	-0.84	-0.16	-0.25	-0.85	-0.12	0.15	0.22	-0.57	0.44	0.05	0.38	1.37	0.55
